,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
0,0.046862093,0.013173909,0.012699575,0.004028676,0
1,0.673590107,0,0.028571369,0,0
2,0.575887859,0.113697955,0,0,0.014791999
3,0.722015207,0.120079318,0.005092761,0.033209834,0
4,0.581837966,0,0.123090091,0.012340203,0.072105743
5,0.745139524,0.025843662,0.106093057,0,0.175424387
6,0.578924337,0.067250034,0,0.08160663,0
7,0.461345276,0.101173346,0,0,0.077983744
8,0.691498793,0.121170361,0,0.225982379,0.009447295
9,0.687786014,0.016258039,0,0,0.002099264
10,0.613220603,0.113379527,0.13490621,0.177778985,0.140762809
11,0.461345276,0.401922567,0,0.029036891,0.179986416
12,0.732376798,0,0.105822356,0,0.010054487
13,0.68306026,0.022160886,2.06545E-05,0,0
14,0.604993627,0,0.015273972,0.014518857,0.032510605
15,0.557744415,0,0,0.003839536,0
16,0.093992661,0.501132615,0.001425498,0.043969167,0.076660113
17,0.6686939,0.015387263,0,0,0.003696372
18,0.592442912,0,0,0.004992559,0.017191163
19,0.712535546,0.123668911,0,0.059329476,0
20,,0,0,0,0
21,,0.244766115,0,0.351258943,0
22,,0.015885267,0,0.000212064,0.06927387
23,,0.551090279,0.119167532,0.073021281,0.07035486
24,,0,0.000618757,0,0.009788098
25,,0,0,0.05165765,0
26,,0.100824365,0.528383997,0.089477481,0
27,,0,0.004737886,0,0.000876865
28,,0.053747818,0.000103818,0.003405059,0
29,,0,0.007054807,0.004287287,2.98617E-06
30,,0.241162723,0.014664634,0.002927256,0
31,,0.000218847,0.042238757,0,0.059976779
32,,0.072067264,0,0.082207261,0.126015199
33,,0.166416688,0,0.075242868,0
34,,0,0,0.247019351,0.141679544
35,,0.133401551,0.119167532,0.000126414,0
36,,0,0.154107685,0,0.012046615
37,,0,0,0,0.127159405
38,,0,0.008514755,0.0826395,0
39,,0,0.191472261,0,0.022696206
40,,0,0.054191362,0,0
41,,0,0.008929272,0,0
42,,0.153085245,0.004870741,0,0
43,,0.108103372,0.006523194,0.10695109,0
44,,0.058727159,0.01512846,0.037415122,0.003857218
45,,0.330653279,0.121450044,0.173720553,0.001188915
46,,0,0.11598757,0,0.014356246
47,,0.000854629,0.05317072,0.012439138,0.025346507
48,,0.015821172,0.179708102,0.015921262,0.002605338
49,,0,0.064187836,0,0
50,,0.58225078,0,0.08335557,0.001913013
51,,0.000831484,0,0,0
52,,0.093804666,0.003274691,0.016083035,0.146036983
53,,0.71869836,0.006397599,0,0.004791598
54,,0.007890391,0,0.091269924,0.001891711
55,,0,0,0.032585538,0.003019326
56,,0.009558339,0,0.183512319,0.006189224
57,,0.030306536,0.003209544,0.102707481,0
58,,0,0.008039913,0.004279464,0.107641209
59,,0.666293137,0.130236227,0,0.002417101
60,,0.017610605,,0,0.024811371
61,,0.130380138,,0.001188028,0
62,,0,,0,0.014607239
63,,0.081821542,,0,0
64,,0.146853724,,0,0
65,,0,,0,0.074474498
66,,0.153085245,,0,0
67,,0.108103372,,0.10695109,0
68,,0.058727159,,0.037415122,0.003857218
69,,0.330653279,,0.173720553,0.001188915
70,,0,,0,0.014356246
71,,0.000854629,,0.012439138,0.025346507
72,,0.157536967,,0.000710825,0
73,,0,,0,0.002868841
74,,0.009867581,,0.004129328,0.007477067
75,,0.109504142,,0.069676132,0.091612941
76,,0.12490858,,0,0
77,,0.661726447,,0,0.258866278
78,,0.006324282,,0.004133123,0.003062455
79,,0,,0,0.068202722
80,,0.006727985,,0,0.009356819
81,,0.013368936,,0.013071857,0
82,,0,,0,0.076876777
83,,0.162950636,,0.006329575,0.003516126
84,,0.208774995,,0.01482902,0.14791719
85,,0.086085977,,0,0.014700932
86,,0.031336761,,0.034625728,0
87,,0,,0,0
88,,0.12193483,,0.01983184,0.110384255
89,,0.000902084,,0.03250891,0.18568232
90,,0,,0.235451131,0.002916024
91,,0.106925238,,0.060109445,0.00337748
92,,0.316173601,,0.09916968,0.327134676
93,,0.301245803,,0.003711816,0
94,,0.145000114,,0,0.008219297
95,,0.159754492,,0.008319697,0.08466284
96,,0.084718499,,0.0039462,0.031755666
97,,0,,0,0.103443387
98,,0.103954238,,0,0
99,,0,,0.01192584,0
100,,0.000208769,,0.157286923,0.062409747
101,,0.525859487,,0.007798341,0.258609011
102,,0,,0,0
103,,0,,0.00117053,0.004711767
104,,0.007213728,,0.003465515,0.008099025
105,,0.271702132,,0.298265525,0
106,,0.124055676,,0.03043959,0.06186126
107,,0.622979097,,0.003815613,0.045936905
108,,0,,0.004196458,0.001563025
109,,0,,0.028059538,0.000862696
110,,0,,0.001418787,0
111,,0,,0,0.000199858
112,,0,,0.004553164,0
113,,0,,0,0
114,,0.539823641,,0.205826135,0.009703229
115,,0.001745048,,0,0.010938398
116,,0.202411784,,0.09104221,0
117,,0.004785262,,0.007915246,0.001639286
118,,,,0.051243067,0.030388511
