,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
1,1.78511,0.8264,0.99269,1.26248,0.28572
2,1.5859,1.82764,0.73044,1.30983,0.4509
3,2.84625,0.35396,0.40202,0.04751,1.15656
4,2.54557,0.74088,1.29461,1.62189,0.35321
5,1.96875,1.32242,0.32609,0.39043,0.44847
6,2.29681,0.5869,0.58187,1.00149,0.11606
7,1.705,0.48324,0.07362,0.56978,-0.09884
8,2.27107,2.29436,1.51066,2.32207,0.51658
9,2.35941,0.51261,1.08753,0.51513,0.31975
10,1.62944,0.99934,0.58234,1.2426,0.86525
11,,0.66421,1.2316,1.45515,0.76746
12,,1.46391,1.12233,1.55923,0.58782
13,,0.36805,0.75162,0.54376,0.36969
14,,2.14711,0.07459,1.58008,0.6075
15,,0.8891,0.82614,1.37094,2.03019
16,,1.28054,0.53836,0.81209,1.73112
17,,1.353,-0.20697,1.5133,0.87197
18,,1.07128,1.02497,0.77161,0.57177
19,,2.47926,0.28511,1.90932,-0.04223
20,,0.64855,0.48452,0.46455,0.10762
21,,1.62398,2.15597,0.61305,0.55799
22,,1.34178,0.65902,0.56131,0.56432
23,,-0.28344,-0.39354,-0.0345,-0.41283
24,,1.07716,0.32426,1.40864,1.49791
25,,1.19059,1.03435,0.81231,0.91644
26,,1.24876,0.61058,1.17327,1.19739
27,,0.56777,0.41155,0.51214,0.69512
28,,1.73313,1.04003,1.75059,0.71919
29,,1.01248,0.11389,2.06067,0.15385
30,,1.18357,1.10437,0.18585,0.67998
31,,1.54958,,1.76846,0.91491
32,,1.87057,,0.4603,0.66763
33,,0.64592,,1.39494,0.55045
34,,2.58341,,0.60901,0.54808
35,,1.18452,,0.49775,0.56469
36,,1.00234,,0.53015,0.33305
37,,1.68867,,2.59334,0.22288
38,,2.30527,,0.81637,1.50087
39,,1.59702,,1.06992,0.99935
40,,1.20967,,1.01017,0.59517
41,,0.58739,,0.89266,0.39359
42,,1.10763,,0.5085,0.75446
43,,2.30908,,0.16946,-0.2196
44,,0.59002,,0.84108,0.35351
45,,1.11064,,0.47046,0.47731
46,,0.78468,,0.43028,-0.07594
47,,0.64135,,0.50563,0.36905
48,,1.32104,,1.12195,1.47201
49,,2.17495,,1.0886,1.15355
50,,1.08526,,1.58976,0.91331
51,,1.55328,,0.58354,0.38185
52,,1.57302,,1.99949,0.96761
53,,-0.00242,,0.48828,-0.13582
54,,1.16384,,1.16146,0.37346
55,,0.40145,,0.29391,0.50988
56,,1.46191,,0.96111,0.56617
57,,1.75955,,1.77824,0.39971
58,,1.094,,1.27463,0.52118
59,,1.67643,,1.74474,0.36193
60,,0.90389,,0.52247,0.57479
